web-scraper-order,web-scraper-start-url,user,comment
1642518388-1991,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Mỹ Linh,Shop j toàn bede mà giang hồ nữa lỡ ko nghe đt cái bị quýnh mềm não sợ lắm
1642518388-2096,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Tùng Mai,ô kìa vẫn bán đc hàng hỏ
1642518388-2130,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Trần Hiền,Tết này trang nam mô ko zề rùi
1642518388-2091,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Pé Đào,Chị trang nam mô đẹp quá
1642518388-2075,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Trần Thị Diệu Phúc,Hàng này hàng fake hả chị
1642518388-2090,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Hà Hà,C.an chưa sờ đến à
1642518388-2092,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Quách Việt,Nguyễn Chiếnn mua 2 túi ship cà mau
1642518388-2142,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Nhi Thy,Tởm
1642518388-2045,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Meo Meo,Mà bên e có ban áo chuột mickey trangt đen k
1642518388-2079,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Nguyênn Nguyênn,túi xinh thật đấy xinh hơn nhân cách nữa
1642518388-2105,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Nguyễn Linh,TẨY CHAY TRANG NEMO
1642518388-2151,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Trần Ngân,Qua cửa hàng mua đồ có bị giựt khẩu trang ko chị ơi. Em sợ covid mà chị giựt khẩu trang khách là chết :))
1642518388-1999,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Lã Trinh,Chạy nhanh còn kịp :)))))
1642518388-2147,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Ngọc HuyềnBeauty,Qua đến nay c mặc có cái quần này thôi à? S chị ko thay quần mà chỉ thay mỗi áo?
1642518388-2167,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Changg Changg,"đánh ngkh như thế thì dẹp luôn shop ik shopp oiwii , ở đây buôn bán ng yangho hay sao keo đàn ông vào đánh một ng phụ nữ ko thấy hèn ak"
1642518388-2102,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Đinh Quốc Hậu,Chị Nhi đã lên tiếng
1642518388-2060,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Pu Linh,live hàng mới đi c oi
1642518388-2029,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Chính Vờn,chuận bị mà nhập trại đi. côn đồ quá cơ
1642518388-2005,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Thường Conn,Tính mua túi của shop cho bé Mic ở nhà mang. Nhưng mà shop nhiều bede quá sợ lây nên thôi ạ
1642518388-1990,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Bảo Ngọc,Tưởng đóng cửa shop rồi ai dè còn bán hã
1642518388-2156,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Nguyễn Ngọc Tuệ Nhi,Chị vẫn ổn chứ ạ =)) https://tiin.vn/.../chong-nguoi-phu-nu-bi-danh-tai-shop...
1642518388-2157,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Kim Thoa,áo và túi bao nhieu shop
1642518388-2181,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Danh Versace,Rp Trang Nam Mô
1642518388-2020,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Cẩm Hồng,Bữa nào live kêu a bede dạy e cách quýnh người ta đi chịiiiii
1642518388-2116,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Ngọc Huyền,Mang tiếng có tiền mà đi sửa cái mặt nát bét đ khác gì con yêu tinh :)) mặt xấu mà tính còn hãm l ông bà nào gánh cho nổi
1642518388-2113,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Bách Hóa Minh Anh,Vô mua sớ rớ bị đánh thí mịa lun.
1642518388-2117,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Nguyen The Ngoc,Vào tù mà bán
1642518388-2073,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Nguyễn Linh Ly,Các tyo ghé GRUOP CHĂM SÓC DA BÊN EM NAH - HÀNG CHÍNH HÃNG VÀ KO CÓ DRAMA   (sản phẩm nói không với kem trộn - rượu thuốc) https://www.facebook.com/groups/1007064686501522
1642518388-2163,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Mỹ Ái,Có ai mua không e mua chung với
1642518388-2027,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Nguyễn Minh Phương,dẹp tiệm chưa zị
1642518388-2122,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Tú Quyên,Bán bao nhiêu cái túi mới đc 5 tỉ bồi thường cho ngta
1642518388-2003,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Lê TU,mẫu này đang hót nè con
1642518388-2040,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Mai Thu Phương,Shop văn minh vc
1642518388-2135,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Còn Cái Nịt,chưa phá sản hả chj:))
1642518388-2072,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Tú Quyên,Mọi chuyện mua mỹ phẩm Đông Anh ghé qua fb em nhé
1642518388-2069,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Trần Quốc Đại,mít đặc ẹt ẹt bủm bủm cười đái xè xè
1642518388-2140,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Lê Vũ Duy,Ko ai mua đâu chị ơi mua thì ng ta cũng bom thôi
1642518388-2008,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Ý Đào,đm shop toàn bán đồ đểu
1642518388-2095,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Hương Hoàng,report đi
1642518388-2148,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Hồng Phúc,"toàn số đẹp, nhiều tiền đấy nhể"
1642518388-2154,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Yidshe HuHu,tết này k bjet c có ăn ngon k nữa =))
1642518388-2017,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Dương Nguyễn Đức Toàn,Khoii cô chủ shop và nhân viên hiếu khachs
1642518388-2132,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Nguyễn Linh,TẨY CHAY TRANG NEMO
1642518388-2066,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Quan Nguyen Hoang,Trong cho ki di chi nhe dung de ae của e gap Cai Thang cho be de do nhe
1642518388-2109,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Di Nguyen,"Mấy  đứa hội  đồng nó  trốn  đằng trời  với  ông ck  ấy  nhỉ  , lúc  đánh hết  mình  sau  biết  hết  hồn"
1642518388-2084,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Nguyễn Thị Hằng Nga,Buồn lắm trang ơi...
1642518388-2088,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Thái Tân,Prada fake hay giả vậy ạ?
1642518388-2172,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Trần Phát,"Mày kêu mấy đứa nhân viên chó hùa của mày mà mặc hết đi, đồ thứ bá dơ"
1642518388-2068,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Đoàn Anh Tuấn,Bình thường mua đồ người ta gọi là ủng hộ chủ shop còn mua ở đây là nuôi bede yangho nha
1642518388-2138,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Đông CoDoc,"mấy đứa em bede giúp hết mình  nhớ đừng quay xe bỏ rơi tụi nó nha, tội nghiệp"
1642518388-2062,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Meo Meo,Ủa h sao k ai cm hay ip này nhieu vậy c
1642518388-2141,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Trang Thuỳ,Coi lại giống hoàng hường jo ( thanh hoá ) đây .
1642518388-2146,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Long Tran,Kính chống ánh sáng xanh có chứng nhận KC của chính phủ
1642518388-2044,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Trần Hải Đang,Chị quy nhập viện chưa chị iu
1642518388-2081,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Nguyễn Minh Phương,má này kì ghê
1642518388-1997,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Hải Võ,mẫu này đang hot nek shop... nhập sĩ về bán đi
1642518388-2047,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Nghia Pham,Vất hết bãi rác còn kịp. Thị trường nó vào kiểm hàng thì ăn shjt no e ơi :))))
1642518388-2077,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Đinh Toan,Giờ đô ai đt mua hàng mà nó dam nghe máy
1642518388-2171,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Nguyễn Thị Ngọc,Có fb bà chị Mickey ko vậy
1642518388-2180,https://www.facebook.com/TrangNemo2021/posts/469624227896468,Danh Versace,:)) định đánh Trần My luôn ấy chứ
